No	age	gender	location	income 	hours
106	5-7	Female	Suburban Neighborhood	High Income	7
107	2-4	Female	Rural Town	Upper Middle Income	24
108	2-4	Male	Suburban Neighborhood	Upper Middle Income	25
109	2-4	Female	Urban City	High Income	27
110	5-7	Male	Rural Town	Middle Income	9
111	8-10	Male	Rural Town	Upper Middle Income	6
112	5-7	Female	Rural Town	High Income	22
113	5-7	Female	Suburban Neighborhood	Low Income	8
114	8-10	Male	Urban City	High Income	12
115	8-10	Female	Urban City	Low Income	17
116	2-4	Male	Rural Town	Low Income	17
117	8-10	Male	Rural Town	High Income	25
118	11-13	Male	Suburban Neighborhood	Low Income	29
119	11-13	Female	Rural Town	Upper Middle Income	23
120	5-7	Female	Urban City	High Income	21
121	2-4	Male	Suburban Neighborhood	Low Income	14
122	2-4	Male	Urban City	Middle Income	30
123	11-13	Male	Urban City	Middle Income	9
124	2-4	Male	Urban City	Middle Income	27
125	11-13	Female	Rural Town	Low Income	14
126	11-13	Female	Rural Town	Middle Income	5
127	8-10	Female	Urban City	Upper Middle Income	25
128	5-7	Male	Rural Town	Upper Middle Income	8
129	8-10	Male	Rural Town	Low Income	27
130	11-13	Female	Suburban Neighborhood	Middle Income	20
131	2-4	Female	Suburban Neighborhood	High Income	7
132	11-13	Female	Urban City	Middle Income	22
133	5-7	Male	Rural Town	Low Income	12
134	5-7	Male	Rural Town	Upper Middle Income	6
135	11-13	Female	Suburban Neighborhood	Low Income	7
136	8-10	Female	Suburban Neighborhood	High Income	11
137	5-7	Female	Rural Town	Middle Income	20
138	5-7	Female	Suburban Neighborhood	Low Income	15
139	5-7	Female	Rural Town	Middle Income	6
140	5-7	Female	Urban City	Middle Income	8
141	8-10	Female	Suburban Neighborhood	Low Income	28
142	11-13	Male	Rural Town	Upper Middle Income	23
143	2-4	Male	Suburban Neighborhood	Low Income	28
144	11-13	Female	Urban City	Low Income	13
145	11-13	Male	Rural Town	Upper Middle Income	12
146	5-7	Female	Suburban Neighborhood	High Income	18
147	5-7	Male	Urban City	Low Income	23
148	2-4	Female	Urban City	Upper Middle Income	9
149	11-13	Female	Urban City	Upper Middle Income	24
150	11-13	Female	Urban City	Middle Income	12
